"Season","round","homeTeam","awayTeam","snitch","homeGoals","awayGoals"
2012,1,"United States Chimeras","Malaysia Tornadoes","United States Chimeras",8,5
2012,1,"Durhamstrang","Denmark Horntails","Durhamstrang",11,12
2012,1,"England Nightmares","France Hippogriffs Firsts","England Nightmares",14,10
2012,1,"Scotland Squirrels","New Zealand Daemons","Scotland Squirrels",11,6
2012,1,"Wales Longshots","Australia Centurions","Wales Longshots",5,6
2012,1,"Ireland Griffins","Japan Falcons","Ireland Griffins",1,0
2012,1,"France Thestrals","Germany Werewolves","France Thestrals",2,0
2012,2,"United States Chimeras","Denmark Horntails","Denmark Horntails",13,8
2012,2,"Malaysia Tornadoes","France Hippogriffs Firsts","France Hippogriffs Firsts",13,12
2012,2,"Durhamstrang","New Zealand Daemons","Durhamstrang",15,5
2012,2,"England Nightmares","Australia Centurions","England Nightmares",2,6
2012,2,"Scotland Squirrels","Japan Falcons","Scotland Squirrels",13,12
2012,2,"Wales Longshots","Germany Werewolves","Germany Werewolves",6,10
2012,2,"Ireland Griffins","France Thestrals","France Thestrals",1,8
2012,3,"United States Chimeras","France Hippogriffs Firsts","United States Chimeras",6,2
2012,3,"Denmark Horntails","New Zealand Daemons","New Zealand Daemons",3,0
2012,3,"Malaysia Tornadoes","Australia Centurions","Malaysia Tornadoes",6,10
2012,3,"Durhamstrang","Japan Falcons","Japan Falcons",7,2
2012,3,"England Nightmares","Germany Werewolves","Germany Werewolves",8,8
2012,3,"Scotland Squirrels","France Thestrals","Scotland Squirrels",12,14
2012,3,"Wales Longshots","Ireland Griffins","Ireland Griffins",0,3
2012,4,"United States Chimeras","New Zealand Daemons","United States Chimeras",15,7
2012,4,"France Hippogriffs Firsts","Australia Centurions","Australia Centurions",1,8
2012,4,"Denmark Horntails","Japan Falcons","Japan Falcons",10,14
2012,4,"Malaysia Tornadoes","Germany Werewolves","Malaysia Tornadoes",0,8
2012,4,"Durhamstrang","France Thestrals","France Thestrals",12,3
2012,4,"England Nightmares","Ireland Griffins","England Nightmares",12,1
2012,4,"Scotland Squirrels","Wales Longshots","Wales Longshots",13,10
2012,5,"United States Chimeras","Australia Centurions","United States Chimeras",6,6
2012,5,"New Zealand Daemons","Japan Falcons","Japan Falcons",11,5
2012,5,"France Hippogriffs Firsts","Germany Werewolves","Germany Werewolves",14,8
2012,5,"Denmark Horntails","France Thestrals","Denmark Horntails",4,11
2012,5,"Malaysia Tornadoes","Ireland Griffins","Malaysia Tornadoes",8,1
2012,5,"Durhamstrang","Wales Longshots","Durhamstrang",4,12
2012,5,"England Nightmares","Scotland Squirrels","England Nightmares",7,11
2012,6,"United States Chimeras","Japan Falcons","United States Chimeras",11,12
2012,6,"Australia Centurions","Germany Werewolves","Germany Werewolves",2,4
2012,6,"New Zealand Daemons","France Thestrals","New Zealand Daemons",10,1
2012,6,"France Hippogriffs Firsts","Ireland Griffins","Ireland Griffins",9,11
2012,6,"Denmark Horntails","Wales Longshots","Denmark Horntails",6,14
2012,6,"Malaysia Tornadoes","Scotland Squirrels","Malaysia Tornadoes",3,10
2012,6,"Durhamstrang","England Nightmares","Durhamstrang",15,6
2012,7,"United States Chimeras","Germany Werewolves","United States Chimeras",2,8
2012,7,"Japan Falcons","France Thestrals","Japan Falcons",10,8
2012,7,"Australia Centurions","Ireland Griffins","Ireland Griffins",9,1
2012,7,"New Zealand Daemons","Wales Longshots","Wales Longshots",12,10
2012,7,"France Hippogriffs Firsts","Scotland Squirrels","Scotland Squirrels",7,4
2012,7,"Denmark Horntails","England Nightmares","Denmark Horntails",6,5
2012,7,"Malaysia Tornadoes","Durhamstrang","Durhamstrang",3,13
2012,8,"United States Chimeras","France Thestrals","United States Chimeras",6,1
2012,8,"Germany Werewolves","Ireland Griffins","Ireland Griffins",0,6
2012,8,"Japan Falcons","Wales Longshots","Japan Falcons",14,14
2012,8,"Australia Centurions","Scotland Squirrels","Scotland Squirrels",0,9
2012,8,"New Zealand Daemons","England Nightmares","England Nightmares",15,13
2012,8,"France Hippogriffs Firsts","Durhamstrang","France Hippogriffs Firsts",14,15
2012,8,"Denmark Horntails","Malaysia Tornadoes","Denmark Horntails",1,8
2012,9,"United States Chimeras","Ireland Griffins","Ireland Griffins",10,15
2012,9,"France Thestrals","Wales Longshots","Wales Longshots",14,11
2012,9,"Germany Werewolves","Scotland Squirrels","Scotland Squirrels",14,8
2012,9,"Japan Falcons","England Nightmares","Japan Falcons",10,8
2012,9,"Australia Centurions","Durhamstrang","Australia Centurions",5,8
2012,9,"New Zealand Daemons","Malaysia Tornadoes","Malaysia Tornadoes",3,13
2012,9,"France Hippogriffs Firsts","Denmark Horntails","Denmark Horntails",12,2
2012,10,"United States Chimeras","Wales Longshots","Wales Longshots",7,11
2012,10,"Ireland Griffins","Scotland Squirrels","Ireland Griffins",4,11
2012,10,"France Thestrals","England Nightmares","France Thestrals",0,13
2012,10,"Germany Werewolves","Durhamstrang","Germany Werewolves",11,7
2012,10,"Japan Falcons","Malaysia Tornadoes","Malaysia Tornadoes",3,6
2012,10,"Australia Centurions","Denmark Horntails","Denmark Horntails",7,8
2012,10,"New Zealand Daemons","France Hippogriffs Firsts","France Hippogriffs Firsts",7,10
2012,11,"United States Chimeras","Scotland Squirrels","United States Chimeras",1,3
2012,11,"Wales Longshots","England Nightmares","Wales Longshots",13,12
2012,11,"Ireland Griffins","Durhamstrang","Ireland Griffins",15,7
2012,11,"France Thestrals","Malaysia Tornadoes","Malaysia Tornadoes",5,9
2012,11,"Germany Werewolves","Denmark Horntails","Germany Werewolves",3,1
2012,11,"Japan Falcons","France Hippogriffs Firsts","France Hippogriffs Firsts",11,13
2012,11,"Australia Centurions","New Zealand Daemons","New Zealand Daemons",9,15
2012,12,"United States Chimeras","England Nightmares","England Nightmares",12,1
2012,12,"Scotland Squirrels","Durhamstrang","Scotland Squirrels",7,2
2012,12,"Wales Longshots","Malaysia Tornadoes","Wales Longshots",2,4
2012,12,"Ireland Griffins","Denmark Horntails","Denmark Horntails",10,5
2012,12,"France Thestrals","France Hippogriffs Firsts","France Thestrals",7,6
2012,12,"Germany Werewolves","New Zealand Daemons","New Zealand Daemons",4,8
2012,12,"Japan Falcons","Australia Centurions","Japan Falcons",8,2
2012,13,"United States Chimeras","Durhamstrang","Durhamstrang",11,14
2012,13,"England Nightmares","Malaysia Tornadoes","Malaysia Tornadoes",13,4
2012,13,"Scotland Squirrels","Denmark Horntails","Scotland Squirrels",1,5
2012,13,"Wales Longshots","France Hippogriffs Firsts","France Hippogriffs Firsts",8,15
2012,13,"Ireland Griffins","New Zealand Daemons","New Zealand Daemons",14,0
2012,13,"France Thestrals","Australia Centurions","Australia Centurions",13,12
2012,13,"Germany Werewolves","Japan Falcons","Japan Falcons",13,10
2012,14,"Malaysia Tornadoes","United States Chimeras","Malaysia Tornadoes",4,5
2012,14,"Denmark Horntails","Durhamstrang","Durhamstrang",6,10
2012,14,"France Hippogriffs Firsts","England Nightmares","England Nightmares",8,9
2012,14,"New Zealand Daemons","Scotland Squirrels","Scotland Squirrels",4,5
2012,14,"Australia Centurions","Wales Longshots","Wales Longshots",5,3
2012,14,"Japan Falcons","Ireland Griffins","Ireland Griffins",3,13
2012,14,"Germany Werewolves","France Thestrals","Germany Werewolves",1,6
2012,15,"Denmark Horntails","United States Chimeras","Denmark Horntails",14,14
2012,15,"France Hippogriffs Firsts","Malaysia Tornadoes","Malaysia Tornadoes",10,7
2012,15,"New Zealand Daemons","Durhamstrang","Durhamstrang",13,2
2012,15,"Australia Centurions","England Nightmares","Australia Centurions",8,3
2012,15,"Japan Falcons","Scotland Squirrels","Scotland Squirrels",13,2
2012,15,"Germany Werewolves","Wales Longshots","Wales Longshots",5,6
2012,15,"France Thestrals","Ireland Griffins","France Thestrals",3,15
2012,16,"France Hippogriffs Firsts","United States Chimeras","United States Chimeras",12,7
2012,16,"New Zealand Daemons","Denmark Horntails","New Zealand Daemons",3,0
2012,16,"Australia Centurions","Malaysia Tornadoes","Australia Centurions",10,0
2012,16,"Japan Falcons","Durhamstrang","Japan Falcons",12,5
2012,16,"Germany Werewolves","England Nightmares","Germany Werewolves",7,13
2012,16,"France Thestrals","Scotland Squirrels","France Thestrals",10,6
2012,16,"Ireland Griffins","Wales Longshots","Ireland Griffins",0,1
2012,17,"New Zealand Daemons","United States Chimeras","New Zealand Daemons",15,0
2012,17,"Australia Centurions","France Hippogriffs Firsts","France Hippogriffs Firsts",6,2
2012,17,"Japan Falcons","Denmark Horntails","Japan Falcons",3,6
2012,17,"Germany Werewolves","Malaysia Tornadoes","Germany Werewolves",15,15
2012,17,"France Thestrals","Durhamstrang","France Thestrals",1,9
2012,17,"Ireland Griffins","England Nightmares","Ireland Griffins",11,15
2012,17,"Wales Longshots","Scotland Squirrels","Scotland Squirrels",8,0
2012,18,"Australia Centurions","United States Chimeras","Australia Centurions",6,15
2012,18,"Japan Falcons","New Zealand Daemons","New Zealand Daemons",0,4
2012,18,"Germany Werewolves","France Hippogriffs Firsts","Germany Werewolves",6,3
2012,18,"France Thestrals","Denmark Horntails","Denmark Horntails",14,2
2012,18,"Ireland Griffins","Malaysia Tornadoes","Malaysia Tornadoes",2,11
2012,18,"Wales Longshots","Durhamstrang","Durhamstrang",1,3
2012,18,"Scotland Squirrels","England Nightmares","England Nightmares",7,1
2012,19,"Japan Falcons","United States Chimeras","United States Chimeras",1,1
2012,19,"Germany Werewolves","Australia Centurions","Australia Centurions",0,15
2012,19,"France Thestrals","New Zealand Daemons","New Zealand Daemons",0,7
2012,19,"Ireland Griffins","France Hippogriffs Firsts","France Hippogriffs Firsts",4,4
